YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_TOTAL_GTIME,DIV2_LONGEST_GTIME
2017,2,4,1,6,4/1/2017,DL,11,MSP,DEN,1800,1800,0,0,1920,1904,-16,0,0,0,,0,140,124,102,680,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,53,MSP,DTW,1555,1556,1,0,1840,1832,-8,0,0,0,,0,105,96,78,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,87,DTW,MSP,1535,1531,-4,0,1633,1615,-18,0,0,0,,0,118,104,90,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,120,MSP,LGA,1515,1512,-3,0,1859,1828,-31,0,0,0,,0,164,136,121,1020,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,140,DEN,MSP,1053,1053,0,0,1353,1402,9,9,0,0,,0,120,129,93,680,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,160,PHX,MSP,910,907,-3,0,1424,1425,1,1,0,0,,0,194,198,165,1276,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,162,DEN,MSP,1345,1355,10,0,1641,1641,0,0,0,0,,0,116,106,88,680,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,201,ATL,MSP,844,905,21,1,1024,1030,6,6,0,0,,0,160,145,128,907,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,260,SLC,MSP,1721,1915,114,1,2056,2235,99,99,1,0,,0,155,140,123,991,10,0,0,0,89,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,261,MSP,SLC,1115,1107,-8,0,1303,1253,-10,0,0,0,,0,168,166,132,991,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,327,MSP,MSN,2215,2211,-4,0,2311,2258,-13,0,0,0,,0,56,47,34,228,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,399,MSP,AUS,1750,1753,3,0,2047,2050,3,3,0,0,,0,177,177,148,1042,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,434,JFK,MSP,720,717,-3,0,931,902,-29,0,0,0,,0,191,165,148,1029,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,507,EWR,MSP,610,606,-4,0,820,756,-24,0,0,0,,0,190,170,146,1008,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,551,BIS,MSP,640,635,-5,0,810,750,-20,0,0,0,,0,90,75,59,386,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,573,ORD,MSP,645,641,-4,0,822,804,-18,0,0,0,,0,97,83,62,334,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,584,SJU,MSP,1611,1604,-7,0,2107,2041,-26,0,0,0,,0,356,337,321,2404,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,588,SEA,MSP,1135,1133,-2,0,1700,1633,-27,0,0,0,,0,205,180,163,1399,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,589,MSP,SEA,1115,1114,-1,0,1254,1252,-2,0,0,0,,0,219,218,195,1399,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,649,MSP,SJU,910,908,-2,0,1507,1508,1,1,0,0,,0,297,300,269,2404,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,662,BDL,MSP,616,627,11,0,822,942,80,80,1,0,,0,186,255,152,1050,0,11,69,0,0,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,675,IND,MSP,1550,1550,0,0,1637,1624,-13,0,0,0,,0,107,94,80,503,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,705,MSP,DFW,2000,1958,-2,0,2243,2221,-22,0,0,0,,0,163,143,125,852,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,731,MSP,FAR,1745,1736,-9,0,1856,1828,-28,0,0,0,,0,71,52,37,223,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,732,MSN,MSP,640,639,-1,0,745,744,-1,0,0,0,,0,65,65,43,228,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,736,RDU,MSP,625,624,-1,0,819,809,-10,0,0,0,,0,174,165,144,980,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,755,PIT,MSP,630,628,-2,0,751,730,-21,0,0,0,,0,141,122,107,726,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,798,PHX,MSP,15,6,-9,0,522,501,-21,0,0,0,,0,187,175,156,1276,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,806,SFO,MSP,20,33,13,0,557,614,17,17,1,0,,0,217,221,200,1589,13,0,4,0,0,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,808,MSP,BOS,705,701,-4,0,1048,1058,10,10,0,0,,0,163,177,141,1124,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,809,BOS,MSP,555,555,0,0,820,808,-12,0,0,0,,0,205,193,159,1124,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,810,RSW,MSP,2030,2025,-5,0,2316,2252,-24,0,0,0,,0,226,207,188,1416,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,821,MSP,STL,1000,954,-6,0,1125,1132,7,7,0,0,,0,85,98,64,448,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,821,STL,MSP,1215,1212,-3,0,1348,1330,-18,0,0,0,,0,93,78,65,448,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,829,MSP,SLC,1435,1644,129,1,1625,1809,104,104,1,0,,0,170,145,130,991,104,0,0,0,0,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,841,DTW,MSP,1205,1201,-4,0,1258,1243,-15,0,0,0,,0,113,102,85,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,850,ATL,MSP,1920,1922,2,0,2108,2039,-29,0,0,0,,0,168,137,122,907,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,859,MSP,DTW,2015,2040,25,1,2301,2258,-3,0,0,0,,0,106,78,67,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,860,SNA,MSP,645,643,-2,0,1230,1238,8,8,0,0,,0,225,235,211,1522,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,866,MSP,GRR,2015,2006,-9,0,2242,2234,-8,0,0,0,,0,87,88,63,408,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,868,MSP,BOS,2000,2009,9,0,2348,2359,11,11,0,0,,0,168,170,135,1124,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,883,MSP,JFK,1450,1447,-3,0,1839,1831,-8,0,0,0,,0,169,164,130,1029,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,888,ATL,MSP,1347,1348,1,0,1527,1516,-11,0,0,0,,0,160,148,130,907,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,892,MSP,PHL,1955,1959,4,0,2333,2307,-26,0,0,0,,0,158,128,116,980,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,899,MSP,PHX,1400,1358,-2,0,1516,1500,-16,0,0,0,,0,196,182,169,1276,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,899,PHX,MSP,1621,1616,-5,0,2125,2118,-7,0,0,0,,0,184,182,166,1276,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,927,LGA,MSP,1629,1625,-4,0,1846,1826,-20,0,0,0,,0,197,181,149,1020,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,943,MSP,RSW,1515,1512,-3,0,1938,1933,-5,0,0,0,,0,203,201,182,1416,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,954,MSP,RSW,1006,1000,-6,0,1429,1415,-14,0,0,0,,0,203,195,177,1416,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,954,RSW,MSP,1533,1541,8,0,1822,1806,-16,0,0,0,,0,229,205,189,1416,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,958,MSP,CVG,2015,2012,-3,0,2306,2245,-21,0,0,0,,0,111,93,78,596,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,970,DFW,MSP,645,641,-4,0,917,846,-31,0,0,0,,0,152,125,109,852,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,971,MSP,DTW,1008,1018,10,0,1249,1249,0,0,0,0,,0,101,91,69,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,976,BDL,MSP,1448,1438,-10,0,1659,1640,-19,0,0,0,,0,191,182,168,1050,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,976,MSP,BDL,1010,1013,3,0,1343,1333,-10,0,0,0,,0,153,140,127,1050,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,987,ATL,MSP,1050,1046,-4,0,1230,1207,-23,0,0,0,,0,160,141,128,907,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,988,MSP,ORD,1515,1513,-2,0,1646,1632,-14,0,0,0,,0,91,79,50,334,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,988,ORD,MSP,1729,1722,-7,0,1912,1833,-39,0,0,0,,0,103,71,57,334,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,994,RDU,MSP,1330,1325,-5,0,1525,1516,-9,0,0,0,,0,175,171,147,980,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1055,DTW,MSP,2005,2022,17,1,2102,2058,-4,0,0,0,,0,117,96,82,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1057,MSP,BIS,1740,1738,-2,0,1912,1849,-23,0,0,0,,0,92,71,59,386,,,,,,,,,0,,,,,,,,,,,,
